question,options,correctOption,points
"Which is the most popular JavaScript framework?","[""Angular"",""React"",""Svelte"",""Vue""]",1,10
"Which company invented React?","[""Google"",""Apple"",""Netflix"",""Facebook""]",3,10
"What's the fundamental building block of React apps?","[""Components"",""Blocks"",""Elements"",""Effects""]",0,10
"What's the name of the syntax we use to describe the UI in React components?","[""FBJ"",""Babel"",""JSX"",""ES2015""]",2,10
"How does data flow naturally in React apps?","[""From parents to children"",""From children to parents"",""Both ways"",""The developers decides""]",0,10
"How to pass data into a child component?","[""State"",""Props"",""PropTypes"",""Parameters""]",1,10
"When to use derived state?","[""Whenever the state should not trigger a re-render"",""Whenever the state can be synchronized with an effect"",""Whenever the state should be accessible to all components"",""Whenever the state can be computed from another state variable""]",3,30
"What triggers a UI re-render in React?","[""Running an effect"",""Passing props"",""Updating state"",""Adding event listeners to DOM elements""]",2,20
"When do we directly ""touch"" the DOM in React?","[""When we need to listen to an event"",""When we need to change the UI"",""When we need to add styles"",""Almost never""]",3,20
"In what situation do we use a callback to update state?","[""When updating the state will be slow"",""When the updated state is very data-intensive"",""When the state update should happen faster"",""When the new state depends on the previous state""]",3,30
"If we pass a function to useState, when will that function be called?","[""On each re-render"",""Each time we update the state"",""Only on the initial render"",""The first time we update the state""]",2,30
"Which hook to use for an API request on the component's initial render?","[""useState"",""useEffect"",""useRef"",""useReducer""]",1,10
"Which variables should go into the useEffect dependency array?","[""Usually none"",""All our state variables"",""All state and props referenced in the effect"",""All variables needed for clean up""]",2,30
"An effect will always run on the initial render.","[""True"",""It depends on the dependency array"",""False"",""In depends on the code in the effect""]",0,30
"When will an effect run if it doesn't have a dependency array?","[""Only when the component mounts"",""Only when the component unmounts"",""The first time the component re-renders"",""Each time the component is re-rendered""]",3,20
